category,admin_unit,name,year,variable,variable_full,value,unit,source,url,flag
transport,city,Belgrade,2015,bike_roads_km,Bike roads (km),83,number,Strategija razvoja bicklistickog saobracaja Grad Beograd,https://civinet-slohr.eu/wp-content/uploads/2015/09/Strategija-razvoja-bicklistickog-saobracaja_Grad-Beograd_Ana-De,
transport,city,Berlin,2012,bike_roads_km,Bike roads (km),986,number,Berlin Traffic in Figures 2013,https://www.berlin.de/senuvk/verkehr/politik_planung/zahlen_fakten/download/Mobility_en_Chap-1-4.pdf,
transport,city,Bratislava,2017,bike_roads_km,Bike roads (km),110,number,City of Bratislava (direct request),,
transport,city,Budapest,2017,bike_roads_km,Bike roads (km),129,number,TeIR,https://www.teir.hu/,
transport,city,Warsaw,2016,bike_roads_km,Bike roads (km),493,number,Statistical Yearbook of Warsaw 2017,"http://warszawa.stat.gov.pl/en/publications/statistical-yearbooks/statistical-yearbook-of-warsaw-2017,3,16.html",
transport,city,Katowice,2018,bike_roads_km,Bike roads (km),75,number,Katowice City Council (direct request),,
transport,city,Prague,2016,bike_roads_km,Bike roads (km),472,number,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Belgrade,2016,cars_per_1000,"Registered passenger cars (cars per 1,000 residents)",314,number,Municipalities and regions in the Republic of Serbia 2017,http://pod2.stat.gov.rs/ObjavljenePublikacije/G2017/pdfE/G20172023.pdf,
transport,city,Berlin,2016,cars_per_1000,"Registered passenger cars (cars per 1,000 residents)",335,number,Berlin Statistisches Jahrbuch 2017,https://www.statistik-berlin-brandenburg.de/produkte/Jahrbuch/jb2017/JB_2017_BE.pdf,
transport,city,Bratislava,2014,cars_per_1000,"Registered passenger cars (cars per 1,000 residents)",400,number,Územný generel dopravy hl. mesta SR Bratislavy,https://bratislava.blob.core.windows.net/media/Default/Dokumenty/UGD.pdf,
transport,city,Budapest,2017,cars_per_1000,"Registered passenger cars (cars per 1,000 residents)",362,number,Hungarian Central Statistical Office,http://www.ksh.hu/docs/hun/xstadat/xstadat_eves/i_ode006b.html,
transport,city,Warsaw,2016,cars_per_1000,"Registered passenger cars (cars per 1,000 residents)",673,number,Statistical Yearbook of Warsaw 2017,"http://warszawa.stat.gov.pl/en/publications/statistical-yearbooks/statistical-yearbook-of-warsaw-2017,3,16.html",
transport,city,Katowice,2016,cars_per_1000,"Registered passenger cars (cars per 1,000 residents)",668,number,Statistical Office in Katowice,"http://katowice.stat.gov.pl/publikacje-i-foldery/roczniki-statystyczne/wojewodztwo-slaskie-2017-podregiony-powiaty-gminy,5,16.html",
transport,city,Prague,2016,cars_per_1000,"Registered passenger cars (cars per 1,000 residents)",621,number,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Belgrade,2015,walk,Transport modal split,24,percent,TEMS - The EPOMM Modal Split Tool,http://www.epomm.eu/tems/result_city.phtml?city=691&list=1,
transport,city,Belgrade,2015,car,Transport modal split,26,percent,TEMS - The EPOMM Modal Split Tool,http://www.epomm.eu/tems/result_city.phtml?city=691&list=1,
transport,city,Belgrade,2015,public transport,Transport modal split,49,percent,TEMS - The EPOMM Modal Split Tool,http://www.epomm.eu/tems/result_city.phtml?city=691&list=1,
transport,city,Belgrade,2015,cycling,Transport modal split,1,percent,TEMS - The EPOMM Modal Split Tool,http://www.epomm.eu/tems/result_city.phtml?city=691&list=1,
transport,city,Belgrade,2015,other,Transport modal split,NA,percent,TEMS - The EPOMM Modal Split Tool,http://www.epomm.eu/tems/result_city.phtml?city=691&list=1,
transport,city,Belgrade,2015,cycling & other,Transport modal split,1,percent,TEMS - The EPOMM Modal Split Tool,http://www.epomm.eu/tems/result_city.phtml,
transport,city,Berlin,2013,walk,Transport modal split,31,percent,Tabellenbericht zum Forschungsprojekt „Mobilität in Städten – SrV 2013“ in Berlin,https://www.berlin.de/senuvk/verkehr/politik_planung/zahlen_fakten/download/SrV_2013_Berlin_Tabellen.pdf,
transport,city,Berlin,2013,car,Transport modal split,29.6,percent,Tabellenbericht zum Forschungsprojekt „Mobilität in Städten – SrV 2013“ in Berlin,https://www.berlin.de/senuvk/verkehr/politik_planung/zahlen_fakten/download/SrV_2013_Berlin_Tabellen.pdf,
transport,city,Berlin,2013,public transport,Transport modal split,26.9,percent,Tabellenbericht zum Forschungsprojekt „Mobilität in Städten – SrV 2013“ in Berlin,https://www.berlin.de/senuvk/verkehr/politik_planung/zahlen_fakten/download/SrV_2013_Berlin_Tabellen.pdf,
transport,city,Berlin,2013,cycling,Transport modal split,12.5,percent,Tabellenbericht zum Forschungsprojekt „Mobilität in Städten – SrV 2013“ in Berlin,https://www.berlin.de/senuvk/verkehr/politik_planung/zahlen_fakten/download/SrV_2013_Berlin_Tabellen.pdf,
transport,city,Berlin,2013,other,Transport modal split,NA,percent,Tabellenbericht zum Forschungsprojekt „Mobilität in Städten – SrV 2013“ in Berlin,https://www.berlin.de/senuvk/verkehr/politik_planung/zahlen_fakten/download/SrV_2013_Berlin_Tabellen.pdf,
transport,city,Berlin,2013,cycling & other,Transport modal split,12.5,percent,Tabellenbericht zum Forschungsprojekt „Mobilität in Städten – SrV 2013“ in Berlin,https://www.berlin.de/senuvk/verkehr/politik_planung/zahlen_fakten/download/SrV_2013_Berlin_Tabellen.pdf,
transport,city,Bratislava,2015,walk,Transport modal split,26.7,percent,Územný generel dopravy hl. mesta SR Bratislavy,https://bratislava.blob.core.windows.net/media/Default/Dokumenty/UGD_zhrnutie.pdf,
transport,city,Bratislava,2015,car,Transport modal split,37.7,percent,Územný generel dopravy hl. mesta SR Bratislavy,https://bratislava.blob.core.windows.net/media/Default/Dokumenty/UGD_zhrnutie.pdf,
transport,city,Bratislava,2015,public transport,Transport modal split,32.6,percent,Územný generel dopravy hl. mesta SR Bratislavy,https://bratislava.blob.core.windows.net/media/Default/Dokumenty/UGD_zhrnutie.pdf,
transport,city,Bratislava,2015,cycling,Transport modal split,1.6,percent,Územný generel dopravy hl. mesta SR Bratislavy,https://bratislava.blob.core.windows.net/media/Default/Dokumenty/UGD_zhrnutie.pdf,
transport,city,Bratislava,2015,other,Transport modal split,1.4,percent,Územný generel dopravy hl. mesta SR Bratislavy,https://bratislava.blob.core.windows.net/media/Default/Dokumenty/UGD_zhrnutie.pdf,
transport,city,Bratislava,2015,cycling & other,Transport modal split,3,percent,Územný generel dopravy hl. mesta SR Bratislavy,https://bratislava.blob.core.windows.net/media/Default/Dokumenty/UGD_zhrnutie.pdf,
transport,city,Budapest,2014,walk,Transport modal split,18,percent,"BALÁZS MÓR PLAN 2014–2030, Budapest Mobility Plan, Volume I: Objectives and Measures",http://www.sump-challenges.eu/sites/www.sump-challenges.eu/files/bmt2016_eng_v3.pdf,
transport,city,Budapest,2014,car,Transport modal split,35,percent,"BALÁZS MÓR PLAN 2014–2030, Budapest Mobility Plan, Volume I: Objectives and Measures",http://www.sump-challenges.eu/sites/www.sump-challenges.eu/files/bmt2016_eng_v3.pdf,
transport,city,Budapest,2014,public transport,Transport modal split,45,percent,"BALÁZS MÓR PLAN 2014–2030, Budapest Mobility Plan, Volume I: Objectives and Measures",http://www.sump-challenges.eu/sites/www.sump-challenges.eu/files/bmt2016_eng_v3.pdf,
transport,city,Budapest,2014,cycling,Transport modal split,2,percent,"BALÁZS MÓR PLAN 2014–2030, Budapest Mobility Plan, Volume I: Objectives and Measures",http://www.sump-challenges.eu/sites/www.sump-challenges.eu/files/bmt2016_eng_v3.pdf,
